Region,Moderate Structural Deficit,Moderate Structural Surplus,Significant Structural Deficit,Significant Structural Surplus,Structurally Balanced
Northeast,19.402985074626866,19.402985074626866,2.9850746268656714,14.925373134328357,43.28358208955223
Midwest,22.22222222222222,20.833333333333336,0.0,2.7777777777777777,54.166666666666664
South,20.121951219512198,25.0,3.048780487804878,9.146341463414634,42.68292682926829
West,13.541666666666666,33.33333333333333,0.0,16.666666666666664,36.45833333333333
