MSA_Name,Avg_Gap_2020_2023,Avg_RD_Weighted_Gap_2020_2023,Rank_Unweighted,Rank_RD_Weighted,Rank_Shift
"Little Rock-North Little Rock-Conway, AR",-0.0855471985721183,-130738.0916225253,77.0,69.0,8.0
"Colorado Springs, CO",-0.1067233491585906,-155829.60822658663,78.0,70.0,8.0
"Grand Rapids-Wyoming-Kentwood, MI",-0.0634354103265386,-170279.46563615996,71.0,71.0,0.0
"Syracuse, NY",-0.0704090355169673,-185139.47661293412,73.0,72.0,1.0
"Knoxville, TN",-0.2024227101473918,-214057.54779881972,92.0,73.0,19.0
"Kansas City, MO-KS",-0.0127248717152532,-235827.9299787404,63.0,74.0,-11.0
"Columbus, OH",-0.0336580438905906,-332042.79154876934,66.0,75.0,-9.0
"Providence-Warwick, RI-MA",-0.1084070295354364,-467235.7614409841,79.0,76.0,3.0
"Durham-Chapel Hill, NC",-0.1891092652118691,-502224.99887265655,89.0,77.0,12.0
"Boston-Cambridge-Newton, MA-NH",-0.0354511495637863,-591313.4640322311,67.0,78.0,-11.0
"Sacramento-Roseville-Folsom, CA",-0.1340914923418159,-650690.4261767392,84.0,79.0,5.0
"Orlando-Kissimmee-Sanford, FL",-0.131896770356624,-716111.2825106194,82.0,80.0,2.0
"Charlotte-Concord-Gastonia, NC-SC",-0.0514970651619659,-755104.7505939109,70.0,81.0,-11.0
"Los Angeles-Long Beach-Anaheim, CA",-0.0480523261206053,-793689.9799839278,69.0,82.0,-13.0
"Pittsburgh, PA",-0.0850103570397218,-834792.9286783636,76.0,83.0,-7.0
"Hartford-West Hartford-East Hartford, CT",-0.1625761105227972,-856880.1672736823,87.0,84.0,3.0
"Louisville/Jefferson County, KY-IN",-0.1333499034410419,-894416.8465511012,83.0,85.0,-2.0
"Milwaukee-Waukesha, WI",-0.136087748895699,-1124700.070652308,85.0,86.0,-1.0
"Virginia Beach-Chesapeake-Norfolk, VA-NC",-0.3650730763173002,-1127355.851944315,97.0,87.0,10.0
"Bridgeport-Stamford-Danbury, CT",-0.4259851597431439,-1182988.0276637585,100.0,88.0,12.0
"Tampa-St. Petersburg-Clearwater, FL",-0.2026975415863017,-1250652.7931775686,93.0,89.0,4.0
"San Antonio-New Braunfels, TX",-0.1940570839744415,-1291439.5759785045,90.0,90.0,0.0
"Minneapolis-St. Paul-Bloomington, MN-WI",-0.1271740719330001,-1601339.981790116,81.0,91.0,-10.0
"Cleveland, OH",-0.1642496133074038,-1915766.3643252428,88.0,92.0,-4.0
"Cincinnati, OH-KY-IN",-0.2155156100267587,-2276241.935205186,94.0,93.0,1.0
"Miami-Fort Lauderdale-West Palm Beach, FL",-0.4180918120912116,-2552398.137279829,99.0,94.0,5.0
"New York-Newark-Jersey City, NY-NJ",-0.2007431104578279,-3554950.859192097,91.0,95.0,-4.0
"Detroit-Warren-Dearborn, MI",-0.1547621927487155,-3771176.474462073,86.0,96.0,-10.0
"Chicago-Naperville-Elgin, IL-IN",-0.0832023323073629,-4276507.420691993,75.0,97.0,-22.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-0.408804372684358,-5611512.343763032,98.0,98.0,0.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-0.2356994496036328,-6223430.723279855,96.0,99.0,-3.0
"Atlanta-Sandy Springs-Roswell, GA",-0.2297585648160502,-7501191.463482706,95.0,100.0,-5.0
