Region,N_MSAs,Mean_RDWeighted_Gap_2020_2023,Mean_RDWeighted_Gap_2006_2019,Mean_RDWeighted_Gap_2006,Mean_RDWeighted_Gap_2007,Mean_RDWeighted_Gap_2008,Mean_RDWeighted_Gap_2009,Mean_RDWeighted_Gap_2010,Mean_RDWeighted_Gap_2011,Mean_RDWeighted_Gap_2012,Mean_RDWeighted_Gap_2013,Mean_RDWeighted_Gap_2014,Mean_RDWeighted_Gap_2015,Mean_RDWeighted_Gap_2016,Mean_RDWeighted_Gap_2017,Mean_RDWeighted_Gap_2018,Mean_RDWeighted_Gap_2019,Mean_RDWeighted_Gap_2020,Mean_RDWeighted_Gap_2021,Mean_RDWeighted_Gap_2022,Mean_RDWeighted_Gap_2023
Northeast,17,-355838.0268325763,-38428.02905750317,83328.22291055556,-139546.1304661496,-700903.1475495407,-137839.6080280632,-83796.56427855595,118903.7589861514,136918.8336364656,-229652.28221371098,134220.252623241,351505.2903054463,-188166.2763187802,-89458.36659991807,156381.6737661818,78760.46629647013,-269228.1812334956,-1467913.9986779727,-720725.673586318,1039610.4429674267
Midwest,18,-455224.1630748285,657218.6349581339,1616482.6928934406,704441.3584023205,-67652.16861225534,1064047.3571410775,1442027.3036923222,1183640.1086066933,1136281.3967475398,887478.0728219007,947703.484651923,468686.85194999323,40829.11395729508,-287312.21943312517,21812.04080009256,202472.83878387546,-311567.08215372846,-1748782.0022515007,-935972.2904802071,1175424.722586122
South,41,94780.45247445683,83491.71677534694,71672.37975017556,102462.11915986227,227480.240978684,130052.68818050963,124123.82931661043,121201.64133254958,157540.98202430594,66887.38256233817,-80319.8191627893,-108102.93774688507,-1882.6594993323004,204484.665629695,-53249.17797768602,202785.10564030168,-213744.31360146625,-700317.8823030685,-247347.6127536352,1540531.6185559975
West,24,958669.7020024844,107556.87845381354,330209.09928643925,-198848.68683428317,491977.12228299613,1048785.6364936854,262571.6800083528,-172901.05823418076,-130001.78128711002,-130183.23498891924,20089.31535423589,-56475.287213488715,-71353.61974782297,-109344.57436623077,113614.27681651479,181874.81772740945,201614.99983680228,-190529.52009723394,714509.1469519357,3109084.1813184335
