Region_1,Region_2,Median_1,Median_2,U_statistic,p_raw,p_bonferroni,Significant_at_0.05
Northeast,Midwest,0.0363893515586912,0.0139582276442471,2602.0,0.42441266934467925,1.0,False
Northeast,South,0.0363893515586912,0.0044796077251243,5760.0,0.56458887222341,1.0,False
Northeast,West,0.0363893515586912,0.17346709521967524,2535.0,0.021720673639667495,0.13032404183800497,False
Midwest,South,0.0139582276442471,0.0044796077251243,5766.0,0.7758521362086579,1.0,False
Midwest,West,0.0139582276442471,0.17346709521967524,2372.0,0.0005151426723038061,0.0030908560338228364,True
South,West,0.0044796077251243,0.17346709521967524,5822.0,0.0004611565219594194,0.0027669391317565167,True
