Year,Northeast,Midwest,South,West
2006,0.042035371056085805,0.05552496401760754,-0.0213229236722003,-0.04964265798859237
2007,0.043533783503660654,0.028551918161826086,0.017947140977857646,-0.06965271499684214
2008,-0.04503010721274926,-0.05213628440697604,0.015641993714034994,0.058068166649746976
2009,-0.019215773861156932,-0.004032194422555785,0.014892834248078518,0.07379728388852204
2010,-0.016685348963532153,0.02169988563797915,-0.0007488627480331905,-0.002913584388499225
2011,0.011205516373465651,0.04227233391061484,-0.012026636616462586,-0.013140249550843024
2012,0.010150156610568742,0.0266662419830297,-0.0067459720914493804,-0.017497341786886812
2013,0.01538573836509206,0.0190434432807202,-0.0026308322809086102,-0.04364261273607716
2014,-0.002656076204262463,0.05967588377217212,-0.019441406814331305,-0.01930840454925657
2015,0.030722689763410166,0.027024044026350686,-0.01812874361442404,-0.013396015173826825
2016,0.00015391461549852357,-0.03936912161423537,-0.003087277547026734,-0.04221137195264674
2017,0.01112339000021384,-0.047022116976719784,0.021507086256478448,-0.02050528839254405
2018,0.030386166192140317,-0.01691132506694813,-0.0017038200048612282,-0.0206190473572807
2019,0.0470142622956473,0.020599994357007195,-0.00885413114848557,-0.011897741392238773
2020,0.17363849162840128,0.02009486764214122,0.11619025058918878,0.19392572383250042
2021,-0.07463399396711605,-0.05932230042117729,-0.12633391878866632,-0.023363768727374733
2022,0.01469774163708761,-0.033619430952194246,0.020053828526835335,0.20795061913971902
2023,0.23856951318883493,0.19093694551833285,0.21138053230559295,0.46268325253069337
