MSA_Name,Year,Available_SF_Total,Counterfactual_Space_SF,Adv_Weight_LQ,Adv_Weighted_Available_SF_Total,Adv_Weighted_Counterfactual_SF
"Akron, OH",2006,12149686.0,11543298.51337655,0.4728661477151929,5745175.214769212,5458435.099946883
"Akron, OH",2007,9809002.0,12609376.625517823,0.4728661477151929,4638344.988670623,5962547.349998612
"Akron, OH",2008,12172893.0,11648569.888665002,0.4728661477151929,5756149.019459238,5508214.3696442135
"Akron, OH",2009,13694905.0,13432185.960001959,0.4728661477151929,6475856.970675534,6351626.030300227
"Akron, OH",2010,14794297.0,13779059.785712378,0.4728661477151929,6995722.230544436,6515650.920007144
"Akron, OH",2011,14840056.0,15238190.711433025,0.4728661477151929,7017360.112597735,7205624.539864769
"Akron, OH",2012,11617695.0,13541495.960923003,0.4728661477151929,5493614.679980058,6403315.029342505
"Akron, OH",2013,8970997.0,10151310.429996757,0.4728661477151929,4242080.792554553,4800211.057293625
"Akron, OH",2014,8009947.0,7938384.070231853,0.4728661477151929,3787632.7812928664,3753793.0943741896
"Akron, OH",2015,8262554.0,6493666.673759516,0.4728661477151929,3907082.0802687583,3070635.144567193
"Akron, OH",2016,7754277.0,6661785.106951006,0.4728661477151929,3666735.093306523,3150132.6604303666
"Akron, OH",2017,7039414.0,6904261.200785804,0.4728661477151929,3328700.580352397,3264791.396835055
"Akron, OH",2018,6880137.0,6455748.7275733575,0.4728661477151929,3253383.8789427644,3052705.031424872
"Akron, OH",2019,5938135.0,6249624.449640955,0.4728661477151929,2807943.022062757,2955235.838168401
"Akron, OH",2020,6371741.0,6867265.064517221,0.4728661477151929,3012980.620908951,3247297.176397384
"Akron, OH",2021,6688913.0,6079481.86529032,0.4728661477151929,3162960.522712074,2874781.169744209
"Akron, OH",2022,5289067.0,6144713.6330639385,0.4728661477151929,2501020.737297552,2905627.0644799722
"Akron, OH",2023,4591307.0,2695519.8429109682,0.4728661477151929,2171073.6540677994,1274620.0842071716
"Albany-Schenectady-Troy, NY",2007,5726970.0,5757097.9662002865,0.5135192464943624,2940909.319095819,2956380.6095973975
